timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660916091100,220,HTTP Request,200,,Thread Group 1-1,text,true,,177,101721,1,1,http://localhost:8080/minorversion/multipart/createFromXml/,220,0,2
1660916571357,43,HTTP Request,200,,Thread Group 1-1,text,true,,177,101729,1,1,http://localhost:8080/minorversion/multipart/createFromXml/,42,0,3
1660916597261,28,HTTP Request,200,,Thread Group 1-1,text,true,,177,101729,1,1,http://localhost:8080/minorversion/multipart/createFromXml/,28,0,2
